 ,Label,Area,Circ.,AR,Round,Solidity
67,sample1_thresholded.tif,210.828,0.856,1.457,0.686,0.942
68,sample1_thresholded.tif,259.838,0.835,1.509,0.662,0.958
69,sample1_thresholded.tif,258.993,0.725,2.151,0.465,0.923
70,sample1_thresholded.tif,156.325,0.731,1.929,0.518,0.898
71,sample1_thresholded.tif,250.120,0.779,1.416,0.706,0.933
72,sample1_thresholded.tif,258.993,0.806,1.414,0.707,0.933
73,sample1_thresholded.tif,198.575,0.741,1.977,0.506,0.931
74,sample1_thresholded.tif,256.458,0.855,1.181,0.847,0.932
75,sample1_thresholded.tif,208.293,0.896,1.154,0.866,0.939
76,sample1_thresholded.tif,185.478,0.848,1.422,0.703,0.934
77,sample1_thresholded.tif,214.630,0.896,1.166,0.858,0.941
78,sample1_thresholded.tif,223.925,0.823,1.585,0.631,0.929
79,sample1_thresholded.tif,138.580,0.810,1.402,0.713,0.938
80,sample1_thresholded.tif,248.853,0.790,1.271,0.787,0.905
81,sample1_thresholded.tif,240.403,0.798,1.719,0.582,0.945
82,sample1_thresholded.tif,167.310,0.809,1.425,0.702,0.937
83,sample1_thresholded.tif,175.760,0.895,1.317,0.759,0.942
84,sample1_thresholded.tif,190.125,0.880,1.065,0.939,0.947
85,sample1_thresholded.tif,355.745,0.816,1.547,0.646,0.940
86,sample1_thresholded.tif,201.533,0.870,1.382,0.723,0.955
87,sample1_thresholded.tif,202.800,0.890,1.302,0.768,0.942
88,sample1_thresholded.tif,212.940,0.827,1.458,0.686,0.932
89,sample1_thresholded.tif,184.210,0.867,1.207,0.829,0.940
90,sample1_thresholded.tif,205.335,0.754,1.688,0.592,0.921
91,sample1_thresholded.tif,195.195,0.911,1.134,0.882,0.945
92,sample1_thresholded.tif,155.903,0.708,2.018,0.496,0.880
93,sample1_thresholded.tif,1140.751,0.625,1.502,0.666,0.869
94,sample1_thresholded.tif,213.363,0.843,1.405,0.712,0.949
95,sample1_thresholded.tif,260.260,0.757,1.942,0.515,0.936
96,sample1_thresholded.tif,209.983,0.883,1.194,0.837,0.934
97,sample1_thresholded.tif,411.515,0.848,1.251,0.800,0.945
